dimensions,width,height
"(885, 663)",885,663
"(1163, 872)",1163,872
"(1483, 1112)",1483,1112
"(865, 648)",865,648
"(876, 657)",876,657
"(1163, 872)",1163,872
"(1154, 865)",1154,865
"(1445, 1083)",1445,1083
"(865, 648)",865,648
"(812, 609)",812,609
"(1138, 853)",1138,853
"(860, 645)",860,645
"(833, 624)",833,624
"(814, 610)",814,610
"(896, 672)",896,672
"(1396, 1047)",1396,1047
"(887, 665)",887,665
"(1447, 1085)",1447,1085
"(800, 600)",800,600
"(838, 628)",838,628
"(837, 627)",837,627
"(865, 648)",865,648
"(1241, 930)",1241,930
"(847, 635)",847,635
"(1328, 996)",1328,996
"(818, 613)",818,613
"(1116, 837)",1116,837
"(1393, 1044)",1393,1044
"(847, 635)",847,635
"(894, 670)",894,670
"(868, 651)",868,651
"(1318, 988)",1318,988
"(1330, 997)",1330,997
"(828, 621)",828,621
"(825, 618)",825,618
"(811, 608)",811,608
"(1146, 859)",1146,859
"(1321, 990)",1321,990
"(820, 615)",820,615
"(844, 633)",844,633
"(852, 639)",852,639
"(877, 657)",877,657
"(1232, 924)",1232,924
"(1310, 982)",1310,982
"(1173, 879)",1173,879
"(1461, 1095)",1461,1095
"(1243, 932)",1243,932
"(816, 612)",816,612
"(878, 658)",878,658
"(821, 615)",821,615
"(1127, 845)",1127,845
"(841, 630)",841,630
"(840, 630)",840,630
"(878, 658)",878,658
"(861, 645)",861,645
"(837, 627)",837,627
"(874, 655)",874,655
"(887, 665)",887,665
"(842, 631)",842,631
"(878, 658)",878,658
"(1478, 1108)",1478,1108
"(1349, 1011)",1349,1011
"(872, 654)",872,654
"(1292, 969)",1292,969
"(845, 633)",845,633
"(1350, 1012)",1350,1012
"(1454, 1090)",1454,1090
"(1349, 1011)",1349,1011
"(1103, 827)",1103,827
"(1284, 963)",1284,963
"(811, 608)",811,608
"(818, 613)",818,613
"(855, 641)",855,641
"(1136, 852)",1136,852
"(847, 635)",847,635
"(865, 648)",865,648
"(819, 614)",819,614
"(1316, 987)",1316,987
"(833, 624)",833,624
"(1406, 1054)",1406,1054
"(1159, 869)",1159,869
"(1230, 922)",1230,922
"(1223, 917)",1223,917
"(883, 662)",883,662
"(1170, 877)",1170,877
"(882, 661)",882,661
"(832, 624)",832,624
"(1239, 929)",1239,929
"(857, 642)",857,642
"(835, 626)",835,626
"(832, 624)",832,624
"(1181, 885)",1181,885
"(1198, 898)",1198,898
"(827, 620)",827,620
"(822, 616)",822,616
"(850, 637)",850,637
"(1306, 979)",1306,979
"(1430, 1072)",1430,1072
"(810, 607)",810,607
"(1439, 1079)",1439,1079
"(882, 661)",882,661
"(1226, 919)",1226,919
"(892, 669)",892,669
"(1387, 1040)",1387,1040
"(822, 616)",822,616
"(810, 607)",810,607
"(1470, 1102)",1470,1102
"(1244, 933)",1244,933
"(822, 616)",822,616
"(813, 609)",813,609
"(851, 638)",851,638
"(884, 663)",884,663
"(895, 671)",895,671
"(846, 634)",846,634
"(809, 606)",809,606
"(890, 667)",890,667
"(1310, 982)",1310,982
"(1315, 986)",1315,986
"(1244, 933)",1244,933
"(842, 631)",842,631
"(890, 667)",890,667
"(1387, 1040)",1387,1040
"(1209, 906)",1209,906
"(1207, 905)",1207,905
"(1138, 853)",1138,853
"(1195, 896)",1195,896
"(870, 652)",870,652
"(871, 653)",871,653
"(1358, 1018)",1358,1018
"(1405, 1053)",1405,1053
"(838, 628)",838,628
"(1417, 1062)",1417,1062
"(1255, 941)",1255,941
"(818, 613)",818,613
"(1240, 930)",1240,930
"(1126, 844)",1126,844
"(1472, 1104)",1472,1104
"(832, 624)",832,624
"(838, 628)",838,628
"(825, 618)",825,618
"(1241, 930)",1241,930
"(1179, 884)",1179,884
"(899, 674)",899,674
"(825, 618)",825,618
"(1382, 1036)",1382,1036
"(1440, 1080)",1440,1080
"(834, 625)",834,625
"(1276, 957)",1276,957
"(1143, 857)",1143,857
"(1101, 825)",1101,825
"(855, 641)",855,641
"(868, 651)",868,651
"(849, 636)",849,636
"(1323, 992)",1323,992
"(821, 615)",821,615
"(881, 660)",881,660
"(1480, 1110)",1480,1110
"(877, 657)",877,657
"(883, 662)",883,662
"(824, 618)",824,618
"(1120, 840)",1120,840
"(1312, 984)",1312,984
"(881, 660)",881,660
"(818, 613)",818,613
"(1398, 1048)",1398,1048
"(876, 657)",876,657
"(1109, 831)",1109,831
"(1398, 1048)",1398,1048
"(897, 672)",897,672
"(882, 661)",882,661
"(817, 612)",817,612
"(801, 600)",801,600
"(1352, 1014)",1352,1014
"(1486, 1114)",1486,1114
"(813, 609)",813,609
"(1214, 910)",1214,910
"(830, 622)",830,622
"(1439, 1079)",1439,1079
"(893, 669)",893,669
"(1405, 1053)",1405,1053
"(893, 669)",893,669
"(1382, 1036)",1382,1036
"(842, 631)",842,631
"(1217, 912)",1217,912
"(1147, 860)",1147,860
"(874, 655)",874,655
"(1276, 957)",1276,957
"(1384, 1038)",1384,1038
"(1236, 927)",1236,927
"(821, 615)",821,615
"(892, 669)",892,669
"(873, 654)",873,654
"(808, 606)",808,606
"(1245, 933)",1245,933
"(1244, 933)",1244,933
"(851, 638)",851,638
"(808, 606)",808,606
"(819, 614)",819,614
"(1218, 913)",1218,913
"(895, 671)",895,671
"(1332, 999)",1332,999
"(1389, 1041)",1389,1041
"(1208, 906)",1208,906
"(1121, 840)",1121,840
"(893, 669)",893,669
"(1304, 978)",1304,978
"(807, 605)",807,605
"(815, 611)",815,611
"(893, 669)",893,669
"(807, 605)",807,605
"(828, 621)",828,621
"(842, 631)",842,631
"(817, 612)",817,612
"(823, 617)",823,617
"(846, 634)",846,634
"(829, 621)",829,621
"(800, 600)",800,600
"(846, 634)",846,634
"(815, 611)",815,611
"(899, 674)",899,674
"(1256, 942)",1256,942
"(1236, 927)",1236,927
"(873, 654)",873,654
"(814, 610)",814,610
"(1422, 1066)",1422,1066
"(1142, 856)",1142,856
"(1159, 869)",1159,869
"(832, 624)",832,624
"(860, 645)",860,645
"(805, 603)",805,603
"(884, 663)",884,663
"(810, 607)",810,607
"(816, 612)",816,612
"(1107, 830)",1107,830
"(1156, 867)",1156,867
"(832, 624)",832,624
"(822, 616)",822,616
"(1276, 957)",1276,957
"(1181, 885)",1181,885
"(882, 661)",882,661
"(1105, 828)",1105,828
"(873, 654)",873,654
"(893, 669)",893,669
"(1456, 1092)",1456,1092
"(813, 609)",813,609
"(881, 660)",881,660
"(874, 655)",874,655
"(1321, 990)",1321,990
"(842, 631)",842,631
"(1379, 1034)",1379,1034
"(1226, 919)",1226,919
"(894, 670)",894,670
"(1231, 923)",1231,923
"(815, 611)",815,611
"(1240, 930)",1240,930
"(1180, 885)",1180,885
"(1435, 1076)",1435,1076
"(833, 624)",833,624
"(885, 663)",885,663
"(827, 620)",827,620
"(1314, 985)",1314,985
"(870, 652)",870,652
"(883, 662)",883,662
"(1201, 900)",1201,900
"(1135, 851)",1135,851
"(816, 612)",816,612
"(825, 618)",825,618
"(1496, 1122)",1496,1122
"(1145, 858)",1145,858
"(800, 600)",800,600
"(822, 616)",822,616
"(1180, 885)",1180,885
"(844, 633)",844,633
"(1451, 1088)",1451,1088
"(1454, 1090)",1454,1090
"(1400, 1050)",1400,1050
"(844, 633)",844,633
"(823, 617)",823,617
"(1170, 877)",1170,877
"(1244, 933)",1244,933
"(876, 657)",876,657
"(894, 670)",894,670
"(900, 675)",900,675
"(865, 648)",865,648
"(1464, 1098)",1464,1098
"(1388, 1041)",1388,1041
"(800, 600)",800,600
"(1214, 910)",1214,910
"(1344, 1008)",1344,1008
"(1368, 1026)",1368,1026
"(1218, 913)",1218,913
"(892, 669)",892,669
"(1102, 826)",1102,826
"(876, 657)",876,657
"(1272, 954)",1272,954
"(1374, 1030)",1374,1030
"(1176, 882)",1176,882
"(1120, 840)",1120,840
"(1258, 943)",1258,943
"(822, 616)",822,616
"(829, 621)",829,621
"(803, 602)",803,602
"(1401, 1050)",1401,1050
"(821, 615)",821,615
"(1234, 925)",1234,925
"(819, 614)",819,614
"(1426, 1069)",1426,1069
"(1486, 1114)",1486,1114
"(1359, 1019)",1359,1019
"(843, 632)",843,632
"(835, 626)",835,626
"(894, 670)",894,670
"(864, 648)",864,648
"(1279, 959)",1279,959
"(894, 670)",894,670
"(889, 666)",889,666
"(850, 637)",850,637
"(893, 669)",893,669
"(844, 633)",844,633
"(863, 647)",863,647
"(1358, 1018)",1358,1018
"(1366, 1024)",1366,1024
"(1221, 915)",1221,915
"(1396, 1047)",1396,1047
"(1232, 924)",1232,924
"(808, 606)",808,606
"(885, 663)",885,663
"(848, 636)",848,636
"(1140, 855)",1140,855
"(1343, 1007)",1343,1007
"(846, 634)",846,634
"(804, 603)",804,603
"(859, 644)",859,644
"(852, 639)",852,639
"(1424, 1068)",1424,1068
"(821, 615)",821,615
"(836, 627)",836,627
"(824, 618)",824,618
"(831, 623)",831,623
"(825, 618)",825,618
"(894, 670)",894,670
"(887, 665)",887,665
"(825, 618)",825,618
"(1244, 933)",1244,933
"(1144, 858)",1144,858
"(864, 648)",864,648
"(823, 617)",823,617
"(866, 649)",866,649
"(1378, 1033)",1378,1033
"(1408, 1056)",1408,1056
"(813, 609)",813,609
"(1304, 978)",1304,978
"(826, 619)",826,619
"(865, 648)",865,648
"(837, 627)",837,627
"(1373, 1029)",1373,1029
"(1148, 861)",1148,861
"(1313, 984)",1313,984
"(894, 670)",894,670
"(840, 630)",840,630
"(870, 652)",870,652
"(1368, 1026)",1368,1026
"(841, 630)",841,630
"(871, 653)",871,653
"(1296, 972)",1296,972
"(1317, 987)",1317,987
"(1289, 966)",1289,966
"(847, 635)",847,635
"(1329, 996)",1329,996
"(1296, 972)",1296,972
"(888, 666)",888,666
"(1342, 1006)",1342,1006
"(811, 608)",811,608
"(1224, 918)",1224,918
"(821, 615)",821,615
"(1357, 1017)",1357,1017
"(863, 647)",863,647
"(1222, 916)",1222,916
"(1500, 1125)",1500,1125
"(1278, 958)",1278,958
"(898, 673)",898,673
"(840, 630)",840,630
"(828, 621)",828,621
"(1395, 1046)",1395,1046
"(859, 644)",859,644
"(1460, 1095)",1460,1095
"(872, 654)",872,654
"(1150, 862)",1150,862
"(1129, 846)",1129,846
"(881, 660)",881,660
"(869, 651)",869,651
"(1378, 1033)",1378,1033
"(1250, 937)",1250,937
"(1121, 840)",1121,840
"(1441, 1080)",1441,1080
"(1207, 905)",1207,905
"(1295, 971)",1295,971
"(838, 628)",838,628
"(1127, 845)",1127,845
"(830, 622)",830,622
"(1471, 1103)",1471,1103
"(1310, 982)",1310,982
"(1260, 945)",1260,945
"(1163, 872)",1163,872
"(898, 673)",898,673
"(899, 674)",899,674
"(1468, 1101)",1468,1101
"(1478, 1108)",1478,1108
"(873, 654)",873,654
"(833, 624)",833,624
"(1164, 873)",1164,873
"(1300, 975)",1300,975
"(1339, 1004)",1339,1004
"(876, 657)",876,657
"(1413, 1059)",1413,1059
"(1171, 878)",1171,878
"(1490, 1117)",1490,1117
"(848, 636)",848,636
"(1424, 1068)",1424,1068
"(1135, 851)",1135,851
"(827, 620)",827,620
"(1484, 1113)",1484,1113
"(822, 616)",822,616
"(863, 647)",863,647
"(1344, 1008)",1344,1008
"(1122, 841)",1122,841
"(1207, 905)",1207,905
"(1337, 1002)",1337,1002
"(1188, 891)",1188,891
"(865, 648)",865,648
"(858, 643)",858,643
"(868, 651)",868,651
"(867, 650)",867,650
"(1456, 1092)",1456,1092
"(1338, 1003)",1338,1003
"(1337, 1002)",1337,1002
"(875, 656)",875,656
"(804, 603)",804,603
"(853, 639)",853,639
"(1439, 1079)",1439,1079
"(806, 604)",806,604
"(1226, 919)",1226,919
"(805, 603)",805,603
"(868, 651)",868,651
"(1296, 972)",1296,972
"(857, 642)",857,642
"(897, 672)",897,672
"(1466, 1099)",1466,1099
"(1348, 1011)",1348,1011
"(879, 659)",879,659
"(1146, 859)",1146,859
"(831, 623)",831,623
"(1343, 1007)",1343,1007
"(1438, 1078)",1438,1078
"(824, 618)",824,618
"(1309, 981)",1309,981
"(1176, 882)",1176,882
"(883, 662)",883,662
"(890, 667)",890,667
"(1134, 850)",1134,850
"(1103, 827)",1103,827
"(1226, 919)",1226,919
"(855, 641)",855,641
"(1244, 933)",1244,933
"(1128, 846)",1128,846
"(830, 622)",830,622
"(812, 609)",812,609
"(835, 626)",835,626
"(1320, 990)",1320,990
"(806, 604)",806,604
"(874, 655)",874,655
"(1323, 992)",1323,992
"(824, 618)",824,618
"(1234, 925)",1234,925
"(1287, 965)",1287,965
"(887, 665)",887,665
"(1337, 1002)",1337,1002
"(1148, 861)",1148,861
"(1287, 965)",1287,965
"(1223, 917)",1223,917
"(809, 606)",809,606
"(839, 629)",839,629
"(802, 601)",802,601
"(1346, 1009)",1346,1009
"(1413, 1059)",1413,1059
"(1213, 909)",1213,909
"(1119, 839)",1119,839
"(900, 675)",900,675
"(1478, 1108)",1478,1108
"(1218, 913)",1218,913
"(896, 672)",896,672
"(1205, 903)",1205,903
"(1296, 972)",1296,972
"(1140, 855)",1140,855
"(1424, 1068)",1424,1068
"(1406, 1054)",1406,1054
"(1113, 834)",1113,834
"(846, 634)",846,634
"(1288, 966)",1288,966
"(857, 642)",857,642
"(1188, 891)",1188,891
"(1459, 1094)",1459,1094
"(840, 630)",840,630
"(1173, 879)",1173,879
"(1487, 1115)",1487,1115
"(1146, 859)",1146,859
"(822, 616)",822,616
"(885, 663)",885,663
"(821, 615)",821,615
"(851, 638)",851,638
"(816, 612)",816,612
"(888, 666)",888,666
"(867, 650)",867,650
"(1500, 1125)",1500,1125
"(1267, 950)",1267,950
"(862, 646)",862,646
"(811, 608)",811,608
"(836, 627)",836,627
"(1352, 1014)",1352,1014
"(1104, 828)",1104,828
"(830, 622)",830,622
"(850, 637)",850,637
"(1129, 846)",1129,846
"(1412, 1059)",1412,1059
"(1403, 1052)",1403,1052
"(1105, 828)",1105,828
"(863, 647)",863,647
"(847, 635)",847,635
"(1484, 1113)",1484,1113
"(1397, 1047)",1397,1047
"(1221, 915)",1221,915
"(1422, 1066)",1422,1066
"(1142, 856)",1142,856
"(1494, 1120)",1494,1120
"(814, 610)",814,610
"(815, 611)",815,611
"(1396, 1047)",1396,1047
"(821, 615)",821,615
"(1475, 1106)",1475,1106
"(896, 672)",896,672
"(1392, 1044)",1392,1044
"(1411, 1058)",1411,1058
"(861, 645)",861,645
"(811, 608)",811,608
"(1314, 985)",1314,985
"(1209, 906)",1209,906
"(1200, 900)",1200,900
"(1451, 1088)",1451,1088
"(1304, 978)",1304,978
"(863, 647)",863,647
"(851, 638)",851,638
"(1295, 971)",1295,971
"(891, 668)",891,668
"(1328, 996)",1328,996
"(1133, 849)",1133,849
"(889, 666)",889,666
"(1408, 1056)",1408,1056
"(1213, 909)",1213,909
"(836, 627)",836,627
"(894, 670)",894,670
"(830, 622)",830,622
"(808, 606)",808,606
"(1224, 918)",1224,918
"(895, 671)",895,671
"(1170, 877)",1170,877
"(853, 639)",853,639
"(1208, 906)",1208,906
"(1155, 866)",1155,866
"(1196, 897)",1196,897
"(1255, 941)",1255,941
"(1218, 913)",1218,913
"(876, 657)",876,657
"(827, 620)",827,620
"(1460, 1095)",1460,1095
"(1123, 842)",1123,842
"(1164, 873)",1164,873
"(1302, 976)",1302,976
"(847, 635)",847,635
"(1156, 867)",1156,867
"(1242, 931)",1242,931
"(1478, 1108)",1478,1108
"(871, 653)",871,653
"(1371, 1028)",1371,1028
"(862, 646)",862,646
"(887, 665)",887,665
"(1256, 942)",1256,942
"(886, 664)",886,664
"(1427, 1070)",1427,1070
"(849, 636)",849,636
"(1306, 979)",1306,979
"(1341, 1005)",1341,1005
"(1359, 1019)",1359,1019
"(1349, 1011)",1349,1011
"(1410, 1057)",1410,1057
"(845, 633)",845,633
"(882, 661)",882,661
"(1403, 1052)",1403,1052
"(1431, 1073)",1431,1073
"(1162, 871)",1162,871
"(849, 636)",849,636
"(1398, 1048)",1398,1048
"(871, 653)",871,653
"(1443, 1082)",1443,1082
"(1495, 1121)",1495,1121
"(1157, 867)",1157,867
"(868, 651)",868,651
"(1464, 1098)",1464,1098
"(1332, 999)",1332,999
"(837, 627)",837,627
"(861, 645)",861,645
"(1402, 1051)",1402,1051
"(1254, 940)",1254,940
"(1246, 934)",1246,934
"(847, 635)",847,635
"(1103, 827)",1103,827
"(1258, 943)",1258,943
"(1444, 1083)",1444,1083
"(1278, 958)",1278,958
"(1338, 1003)",1338,1003
"(1429, 1071)",1429,1071
"(1417, 1062)",1417,1062
"(1333, 999)",1333,999
"(1158, 868)",1158,868
"(871, 653)",871,653
"(835, 626)",835,626
"(840, 630)",840,630
"(824, 618)",824,618
"(869, 651)",869,651
"(1327, 995)",1327,995
"(1500, 1125)",1500,1125
"(854, 640)",854,640
"(836, 627)",836,627
"(1408, 1056)",1408,1056
"(1297, 972)",1297,972
"(1357, 1017)",1357,1017
"(1287, 965)",1287,965
"(849, 636)",849,636
"(1165, 873)",1165,873
"(1313, 984)",1313,984
"(1141, 855)",1141,855
"(836, 627)",836,627
"(1225, 918)",1225,918
"(859, 644)",859,644
"(1358, 1018)",1358,1018
"(1439, 1079)",1439,1079
"(1214, 910)",1214,910
"(1223, 917)",1223,917
"(808, 606)",808,606
"(807, 605)",807,605
"(894, 670)",894,670
"(814, 610)",814,610
"(1264, 948)",1264,948
"(1307, 980)",1307,980
"(868, 651)",868,651
"(885, 663)",885,663
"(1432, 1074)",1432,1074
"(896, 672)",896,672
"(856, 642)",856,642
"(1357, 1017)",1357,1017
"(1457, 1092)",1457,1092
"(1266, 949)",1266,949
"(1376, 1032)",1376,1032
"(841, 630)",841,630
"(1420, 1065)",1420,1065
"(805, 603)",805,603
"(850, 637)",850,637
"(840, 630)",840,630
"(1493, 1119)",1493,1119
"(1278, 958)",1278,958
"(886, 664)",886,664
"(1353, 1014)",1353,1014
"(1413, 1059)",1413,1059
"(1208, 906)",1208,906
"(1470, 1102)",1470,1102
"(1196, 897)",1196,897
"(821, 615)",821,615
"(1253, 939)",1253,939
"(1241, 930)",1241,930
"(1348, 1011)",1348,1011
"(1226, 919)",1226,919
"(1175, 881)",1175,881
"(1205, 903)",1205,903
"(806, 604)",806,604
"(886, 664)",886,664
"(1170, 877)",1170,877
"(885, 663)",885,663
"(850, 637)",850,637
"(893, 669)",893,669
"(1374, 1030)",1374,1030
"(1247, 935)",1247,935
"(1196, 897)",1196,897
"(826, 619)",826,619
"(1431, 1073)",1431,1073
"(1429, 1071)",1429,1071
"(1173, 879)",1173,879
"(1415, 1061)",1415,1061
"(1358, 1018)",1358,1018
"(828, 621)",828,621
"(817, 612)",817,612
"(1481, 1110)",1481,1110
"(1202, 901)",1202,901
"(820, 615)",820,615
"(1337, 1002)",1337,1002
"(1318, 988)",1318,988
"(1121, 840)",1121,840
"(827, 620)",827,620
"(842, 631)",842,631
"(1196, 897)",1196,897
"(1320, 990)",1320,990
"(1208, 906)",1208,906
"(1210, 907)",1210,907
"(881, 660)",881,660
"(856, 642)",856,642
"(893, 669)",893,669
"(1357, 1017)",1357,1017
"(842, 631)",842,631
"(1355, 1016)",1355,1016
"(1259, 944)",1259,944
"(1292, 969)",1292,969
"(862, 646)",862,646
"(886, 664)",886,664
"(822, 616)",822,616
"(835, 626)",835,626
"(809, 606)",809,606
"(802, 601)",802,601
"(1300, 975)",1300,975
"(821, 615)",821,615
"(1279, 959)",1279,959
"(1275, 956)",1275,956
"(1160, 870)",1160,870
"(844, 633)",844,633
"(822, 616)",822,616
"(824, 618)",824,618
"(1146, 859)",1146,859
"(840, 630)",840,630
"(874, 655)",874,655
"(809, 606)",809,606
"(1170, 877)",1170,877
"(872, 654)",872,654
"(806, 604)",806,604
"(813, 609)",813,609
"(1209, 906)",1209,906
"(1125, 843)",1125,843
"(833, 624)",833,624
"(1200, 900)",1200,900
"(885, 663)",885,663
"(874, 655)",874,655
"(1345, 1008)",1345,1008
"(1120, 840)",1120,840
"(1439, 1079)",1439,1079
"(1497, 1122)",1497,1122
"(839, 629)",839,629
"(872, 654)",872,654
"(1379, 1034)",1379,1034
"(1137, 852)",1137,852
"(848, 636)",848,636
"(1347, 1010)",1347,1010
"(842, 631)",842,631
"(1458, 1093)",1458,1093
"(1159, 869)",1159,869
"(803, 602)",803,602
"(1321, 990)",1321,990
"(801, 600)",801,600
"(1400, 1050)",1400,1050
"(1113, 834)",1113,834
"(825, 618)",825,618
"(1414, 1060)",1414,1060
"(800, 600)",800,600
"(883, 662)",883,662
"(817, 612)",817,612
"(1164, 873)",1164,873
"(847, 635)",847,635
"(1420, 1065)",1420,1065
"(1182, 886)",1182,886
"(866, 649)",866,649
"(1264, 948)",1264,948
"(844, 633)",844,633
"(1244, 933)",1244,933
"(814, 610)",814,610
"(1496, 1122)",1496,1122
"(1154, 865)",1154,865
"(1128, 846)",1128,846
"(845, 633)",845,633
"(862, 646)",862,646
"(840, 630)",840,630
"(1222, 916)",1222,916
"(887, 665)",887,665
"(1168, 876)",1168,876
"(1486, 1114)",1486,1114
"(881, 660)",881,660
"(833, 624)",833,624
"(809, 606)",809,606
"(1255, 941)",1255,941
"(1147, 860)",1147,860
"(1235, 926)",1235,926
"(834, 625)",834,625
"(840, 630)",840,630
"(862, 646)",862,646
"(802, 601)",802,601
"(881, 660)",881,660
"(898, 673)",898,673
"(1316, 987)",1316,987
"(1394, 1045)",1394,1045
"(1169, 876)",1169,876
"(867, 650)",867,650
"(1385, 1038)",1385,1038
"(876, 657)",876,657
"(1317, 987)",1317,987
"(862, 646)",862,646
"(1357, 1017)",1357,1017
"(803, 602)",803,602
"(1362, 1021)",1362,1021
"(1137, 852)",1137,852
"(831, 623)",831,623
"(874, 655)",874,655
"(804, 603)",804,603
"(800, 600)",800,600
"(887, 665)",887,665
"(1447, 1085)",1447,1085
"(811, 608)",811,608
"(1188, 891)",1188,891
"(1156, 867)",1156,867
"(884, 663)",884,663
"(900, 675)",900,675
"(1357, 1017)",1357,1017
"(847, 635)",847,635
"(1315, 986)",1315,986
"(893, 669)",893,669
"(1457, 1092)",1457,1092
"(850, 637)",850,637
"(1447, 1085)",1447,1085
"(842, 631)",842,631
"(882, 661)",882,661
"(1234, 925)",1234,925
"(859, 644)",859,644
"(815, 611)",815,611
"(1164, 873)",1164,873
"(1133, 849)",1133,849
"(849, 636)",849,636
"(832, 624)",832,624
"(818, 613)",818,613
"(893, 669)",893,669
"(887, 665)",887,665
"(1422, 1066)",1422,1066
"(830, 622)",830,622
"(1387, 1040)",1387,1040
"(1312, 984)",1312,984
"(835, 626)",835,626
"(1202, 901)",1202,901
"(855, 641)",855,641
"(1138, 853)",1138,853
"(1463, 1097)",1463,1097
"(1462, 1096)",1462,1096
"(814, 610)",814,610
"(1185, 888)",1185,888
"(1182, 886)",1182,886
"(853, 639)",853,639
"(1261, 945)",1261,945
"(1467, 1100)",1467,1100
"(849, 636)",849,636
"(832, 624)",832,624
"(1264, 948)",1264,948
"(895, 671)",895,671
"(860, 645)",860,645
"(854, 640)",854,640
"(812, 609)",812,609
"(1326, 994)",1326,994
"(1472, 1104)",1472,1104
"(883, 662)",883,662
"(1154, 865)",1154,865
"(850, 637)",850,637
"(880, 660)",880,660
"(849, 636)",849,636
"(861, 645)",861,645
"(818, 613)",818,613
"(1336, 1002)",1336,1002
"(1321, 990)",1321,990
"(823, 617)",823,617
"(876, 657)",876,657
"(1401, 1050)",1401,1050
"(1227, 920)",1227,920
"(1297, 972)",1297,972
"(1194, 895)",1194,895
"(1161, 870)",1161,870
"(1284, 963)",1284,963
"(870, 652)",870,652
"(895, 671)",895,671
"(1422, 1066)",1422,1066
"(800, 600)",800,600
"(813, 609)",813,609
"(869, 651)",869,651
"(1283, 962)",1283,962
"(1155, 866)",1155,866
"(843, 632)",843,632
"(803, 602)",803,602
"(1226, 919)",1226,919
"(1288, 966)",1288,966
"(1343, 1007)",1343,1007
"(1459, 1094)",1459,1094
"(831, 623)",831,623
"(883, 662)",883,662
"(1258, 943)",1258,943
"(1242, 931)",1242,931
"(1283, 962)",1283,962
"(869, 651)",869,651
"(881, 660)",881,660
"(861, 645)",861,645
"(859, 644)",859,644
"(1392, 1044)",1392,1044
"(1126, 844)",1126,844
"(1304, 978)",1304,978
"(1221, 915)",1221,915
"(875, 656)",875,656
"(1214, 910)",1214,910
"(897, 672)",897,672
"(820, 615)",820,615
"(883, 662)",883,662
"(1178, 883)",1178,883
"(1455, 1091)",1455,1091
"(1470, 1102)",1470,1102
"(1216, 912)",1216,912
"(884, 663)",884,663
"(1138, 853)",1138,853
"(1178, 883)",1178,883
"(1418, 1063)",1418,1063
"(823, 617)",823,617
"(857, 642)",857,642
"(823, 617)",823,617
"(1403, 1052)",1403,1052
"(838, 628)",838,628
"(815, 611)",815,611
"(829, 621)",829,621
"(848, 636)",848,636
"(1154, 865)",1154,865
"(1387, 1040)",1387,1040
"(1466, 1099)",1466,1099
"(859, 644)",859,644
"(826, 619)",826,619
"(840, 630)",840,630
"(832, 624)",832,624
"(885, 663)",885,663
"(1224, 918)",1224,918
"(888, 666)",888,666
"(833, 624)",833,624
"(1386, 1039)",1386,1039
"(1478, 1108)",1478,1108
"(1228, 921)",1228,921
"(812, 609)",812,609
"(829, 621)",829,621
"(1185, 888)",1185,888
"(1374, 1030)",1374,1030
"(1104, 828)",1104,828
"(1347, 1010)",1347,1010
"(1120, 840)",1120,840
"(1265, 948)",1265,948
"(1379, 1034)",1379,1034
"(869, 651)",869,651
"(1198, 898)",1198,898
"(1230, 922)",1230,922
"(832, 624)",832,624
"(1464, 1098)",1464,1098
"(1497, 1122)",1497,1122
"(838, 628)",838,628
"(821, 615)",821,615
"(887, 665)",887,665
"(832, 624)",832,624
"(877, 657)",877,657
"(836, 627)",836,627
"(1388, 1041)",1388,1041
"(802, 601)",802,601
"(1421, 1065)",1421,1065
"(814, 610)",814,610
"(1441, 1080)",1441,1080
"(1105, 828)",1105,828
"(832, 624)",832,624
"(1220, 915)",1220,915
"(1118, 838)",1118,838
"(868, 651)",868,651
"(876, 657)",876,657
"(1269, 951)",1269,951
"(894, 670)",894,670
"(1495, 1121)",1495,1121
"(856, 642)",856,642
"(1238, 928)",1238,928
"(1417, 1062)",1417,1062
"(846, 634)",846,634
"(1330, 997)",1330,997
"(887, 665)",887,665
"(1198, 898)",1198,898
"(894, 670)",894,670
"(900, 675)",900,675
"(1108, 831)",1108,831
"(1386, 1039)",1386,1039
"(1121, 840)",1121,840
"(1478, 1108)",1478,1108
"(864, 648)",864,648
"(805, 603)",805,603
"(1276, 957)",1276,957
"(892, 669)",892,669
"(1261, 945)",1261,945
"(820, 615)",820,615
"(800, 600)",800,600
"(850, 637)",850,637
"(1340, 1005)",1340,1005
"(866, 649)",866,649
"(895, 671)",895,671
"(845, 633)",845,633
"(1300, 975)",1300,975
"(850, 637)",850,637
"(850, 637)",850,637
"(864, 648)",864,648
"(1212, 909)",1212,909
"(1462, 1096)",1462,1096
"(868, 651)",868,651
"(1448, 1086)",1448,1086
"(1479, 1109)",1479,1109
"(1134, 850)",1134,850
"(804, 603)",804,603
"(1393, 1044)",1393,1044
"(802, 601)",802,601
"(836, 627)",836,627
"(1227, 920)",1227,920
"(820, 615)",820,615
"(1425, 1068)",1425,1068
"(835, 626)",835,626
"(1226, 919)",1226,919
"(1312, 984)",1312,984
"(1363, 1022)",1363,1022
"(805, 603)",805,603
"(896, 672)",896,672
"(1235, 926)",1235,926
"(817, 612)",817,612
"(829, 621)",829,621
"(1253, 939)",1253,939
"(1181, 885)",1181,885
"(1129, 846)",1129,846
"(816, 612)",816,612
"(884, 663)",884,663
"(895, 671)",895,671
"(883, 662)",883,662
"(1105, 828)",1105,828
"(900, 675)",900,675
"(1120, 840)",1120,840
