dimensions,width,height
"(1103, 827)",1103,827
"(1124, 843)",1124,843
"(1495, 1121)",1495,1121
"(1248, 936)",1248,936
"(1464, 1098)",1464,1098
"(1385, 1038)",1385,1038
"(1278, 958)",1278,958
"(838, 628)",838,628
"(898, 673)",898,673
"(806, 604)",806,604
"(886, 664)",886,664
"(811, 608)",811,608
"(1122, 841)",1122,841
"(1321, 990)",1321,990
"(874, 655)",874,655
"(824, 618)",824,618
"(1254, 940)",1254,940
"(1438, 1078)",1438,1078
"(1305, 978)",1305,978
"(840, 630)",840,630
"(811, 608)",811,608
"(867, 650)",867,650
"(1182, 886)",1182,886
"(834, 625)",834,625
"(1390, 1042)",1390,1042
"(861, 645)",861,645
"(856, 642)",856,642
"(862, 646)",862,646
"(879, 659)",879,659
"(807, 605)",807,605
"(1195, 896)",1195,896
"(1327, 995)",1327,995
"(801, 600)",801,600
"(864, 648)",864,648
"(847, 635)",847,635
"(1232, 924)",1232,924
"(806, 604)",806,604
"(830, 622)",830,622
"(880, 660)",880,660
"(1445, 1083)",1445,1083
"(1291, 968)",1291,968
"(811, 608)",811,608
"(1236, 927)",1236,927
"(1435, 1076)",1435,1076
"(1318, 988)",1318,988
"(1251, 938)",1251,938
"(1421, 1065)",1421,1065
"(1489, 1116)",1489,1116
"(1406, 1054)",1406,1054
"(1276, 957)",1276,957
"(803, 602)",803,602
"(899, 674)",899,674
"(1221, 915)",1221,915
"(1250, 937)",1250,937
"(880, 660)",880,660
"(846, 634)",846,634
"(900, 675)",900,675
"(1202, 901)",1202,901
"(814, 610)",814,610
"(895, 671)",895,671
"(1317, 987)",1317,987
"(1366, 1024)",1366,1024
"(1156, 867)",1156,867
"(1185, 888)",1185,888
"(871, 653)",871,653
"(881, 660)",881,660
"(1400, 1050)",1400,1050
"(842, 631)",842,631
"(847, 635)",847,635
"(810, 607)",810,607
"(846, 634)",846,634
"(1470, 1102)",1470,1102
"(1295, 971)",1295,971
"(835, 626)",835,626
"(1467, 1100)",1467,1100
"(1178, 883)",1178,883
"(1436, 1077)",1436,1077
"(837, 627)",837,627
"(1289, 966)",1289,966
"(874, 655)",874,655
"(1261, 945)",1261,945
"(881, 660)",881,660
"(805, 603)",805,603
"(842, 631)",842,631
"(824, 618)",824,618
"(810, 607)",810,607
"(1358, 1018)",1358,1018
"(817, 612)",817,612
"(1283, 962)",1283,962
"(1287, 965)",1287,965
"(1205, 903)",1205,903
"(891, 668)",891,668
"(829, 621)",829,621
"(888, 666)",888,666
"(1306, 979)",1306,979
"(889, 666)",889,666
"(838, 628)",838,628
"(1470, 1102)",1470,1102
"(831, 623)",831,623
"(883, 662)",883,662
"(807, 605)",807,605
"(1368, 1026)",1368,1026
"(841, 630)",841,630
"(1200, 900)",1200,900
"(1440, 1080)",1440,1080
"(840, 630)",840,630
"(859, 644)",859,644
"(809, 606)",809,606
"(1393, 1044)",1393,1044
"(1212, 909)",1212,909
"(1152, 864)",1152,864
"(1320, 990)",1320,990
"(812, 609)",812,609
"(807, 605)",807,605
"(1309, 981)",1309,981
"(1228, 921)",1228,921
"(1270, 952)",1270,952
"(804, 603)",804,603
"(1222, 916)",1222,916
"(1442, 1081)",1442,1081
"(1285, 963)",1285,963
"(1117, 837)",1117,837
"(1115, 836)",1115,836
"(834, 625)",834,625
"(865, 648)",865,648
"(1173, 879)",1173,879
"(801, 600)",801,600
"(1359, 1019)",1359,1019
"(842, 631)",842,631
"(872, 654)",872,654
"(1490, 1117)",1490,1117
"(1271, 953)",1271,953
"(853, 639)",853,639
"(1211, 908)",1211,908
"(823, 617)",823,617
"(899, 674)",899,674
"(1144, 858)",1144,858
"(853, 639)",853,639
"(897, 672)",897,672
"(823, 617)",823,617
"(1255, 941)",1255,941
"(1167, 875)",1167,875
"(826, 619)",826,619
"(1469, 1101)",1469,1101
"(854, 640)",854,640
"(1348, 1011)",1348,1011
"(882, 661)",882,661
"(1439, 1079)",1439,1079
"(1485, 1113)",1485,1113
"(888, 666)",888,666
"(1452, 1089)",1452,1089
"(1322, 991)",1322,991
"(827, 620)",827,620
"(1403, 1052)",1403,1052
"(1190, 892)",1190,892
